name,favorite_movie,second_favorite_movie,preferred_political_party,ideal_diet
Morpheus,Lord of the Rings: The Fellowship of the Ring,Jurassic Park,left wing,balanced
Scarlett Johansson,Inception,Back to the Future,very left wing,plant-heavy
Dexter Morgan,Blade Runner,Back to the Future,left wing,fruit-heavy
Elvis Presley,Back to the Future,Star Wars: Episode IV,right wing,fruit-heavy
Bugs Bunny,Lord of the Rings: The Fellowship of the Ring,Pulp Fiction,left wing,meat-heavy
Wonder Woman,Shrek,Finding Nemo,very right wing,plant-heavy
The Rock,Shrek,Frozen,very left wing,plant-heavy
Oprah Winfrey,Gone with the Wind,Citizen Kane,very left wing,plant-heavy
Cinderella,Forrest Gump,The Godfather,right wing,dairy-heavy
Usain Bolt,Casablanca,Jaws,very left wing,fruit-heavy
Superman,Casablanca,Citizen Kane,left wing,balanced
Cinderella,Finding Nemo,The Lion King,left wing,balanced
Michael Jordan,The Dark Knight,Lord of the Rings: The Fellowship of the Ring,left wing,balanced
Taylor Swift,Gone with the Wind,Jaws,left wing,meat-heavy
Tom Hanks,Pulp Fiction,Jurassic Park,right wing,fruit-heavy
Elvis Presley,Lord of the Rings: The Fellowship of the Ring,Jurassic Park,very left wing,meat-heavy
Hermione Granger,Lord of the Rings: The Fellowship of the Ring,Pulp Fiction,right wing,meat-heavy
Sherlock Holmes,Back to the Future,Blade Runner,left wing,meat-heavy
Beyonce,Blade Runner,Blade Runner,left wing,meat-heavy
Captain America,Casablanca,Jaws,very right wing,meat-heavy
Dexter Morgan,Jaws,Casablanca,very right wing,plant-heavy
Sherlock Holmes,Psycho,Casablanca,very right wing,balanced
Bugs Bunny,Psycho,Gone with the Wind,left wing,meat-heavy
Taylor Swift,Fight Club,Forrest Gump,left wing,plant-heavy
Tom Hanks,Lord of the Rings: The Fellowship of the Ring,Jurassic Park,right wing,fruit-heavy
Tony Stark,The Matrix,Blade Runner,right wing,meat-heavy
Neo,Pulp Fiction,Pulp Fiction,very left wing,fruit-heavy
Tom Hanks,Star Wars: Episode IV,Back to the Future,very left wing,plant-heavy
Sheldon Cooper,Star Wars: Episode IV,Inception,very left wing,dairy-heavy
Mario,Jurassic Park,Jurassic Park,very right wing,dairy-heavy
Tony Stark,Jurassic Park,Avengers: Endgame,right wing,fruit-heavy
Luffy,Jaws,Jaws,left wing,plant-heavy
Morpheus,Fight Club,The Shawshank Redemption,left wing,dairy-heavy
Marilyn Monroe,Casablanca,Casablanca,very right wing,fruit-heavy
Sheldon Cooper,The Dark Knight,Pulp Fiction,right wing,balanced
Spider-Man,Gone with the Wind,Citizen Kane,very left wing,fruit-heavy
Spider-Man,Toy Story,The Lion King,very left wing,meat-heavy
Hermione Granger,Frozen,Frozen,very right wing,meat-heavy
Serena Williams,Back to the Future,The Matrix,right wing,dairy-heavy
Marilyn Monroe,Jurassic Park,Lord of the Rings: The Fellowship of the Ring,very left wing,fruit-heavy
Usain Bolt,The Lion King,Frozen,right wing,fruit-heavy
Goku,Shrek,Toy Story,very left wing,balanced
Rihanna,Forrest Gump,Forrest Gump,very left wing,fruit-heavy
Oprah Winfrey,Lord of the Rings: The Fellowship of the Ring,Avengers: Endgame,left wing,balanced
Michael Jordan,Frozen,Toy Story,very left wing,balanced
Tom Hanks,Jaws,Citizen Kane,right wing,dairy-heavy
Mulan,Casablanca,Psycho,right wing,dairy-heavy
Captain America,Pulp Fiction,Lord of the Rings: The Fellowship of the Ring,very right wing,fruit-heavy
The Rock,The Lion King,Shrek,very right wing,plant-heavy
Goku,Shrek,The Lion King,left wing,fruit-heavy
